role,ident,smiles
decoy,C36642524,CC[NH+](CC)CCN(c1nc2c(cccc2s1)OCC)C(=O)c3c[nH]c4c3cccc4
decoy,C59804821,CCNC(=O)c1ccc(cc1NCC(=O)Nc2cc(ccc2Cl)C(F)(F)F)Cl
decoy,C65200164,Cc1ccc2cc([nH]c2c1)C(=O)NNC(=O)NCCc3cccs3
decoy,C65298388,CC[NH+]1CCC2(CC1)N[C@@H](CC(=N2)c3ccc(cc3)OCC)c4cccc(c4O)OCC
decoy,C36156564,COCC[NH+](Cc1[nH]c(=O)c2c3c(sc2n1)CCCC3)C[C@H](COCc4ccccc4)O
decoy,C36122264,CCCNC(=O)N(C[C@@H]1CCCO1)CC(=O)N2CCc3c(ccs3)[C@@H]2COc4ccc(cc4)C(C)C
decoy,C45602183,CCOC(=O)c1c(c2c(nc(nc2s1)COC(=O)c3csc(n3)c4ccc(cc4)Cl)N)C
decoy,C39709157,c1ccc(cc1)[C@H]2C(=c3ccccc3=[NH+]2)C(=O)CSc4[nH]c(=O)cc(n4)N
decoy,C19221786,Cc1ccc2cc([nH]c2c1)C(=O)N[C@@H](C)c3cc(=O)n4c([nH]3)cc(n4)C5CCOCC5
decoy,C05896427,Cc1ccc(cc1)S(=O)(=O)NNC(=S)Nc2ccccc2C
decoy,C13134091,CC(C)[C@H](C(=O)OCC(=O)O/N=C(/c1ccc(cc1)F)\N)NC(=O)c2ccccc2Br
decoy,C64215319,C[C@@H]1C(=O)Nc2cc(ccc2S1)C(=O)N[C@@H](CC3=c4ccccc4=[NH+]C3)C(=O)OC
decoy,C06142737,CCC(C)(C)[C@@H]1CC[C@H]2[C@@H](C1)c3cc(ccc3O2)NS(=O)(=O)c4cccc(c4)[N+](=O)[O-]
decoy,C36316055,CCC[NH+](Cc1c(nn(c1Oc2ccc(cc2)C)C)c3ccccc3)C[C@H](COc4ccccc4C)O
decoy,C15988690,c1ccc(cc1)S(=O)(=O)Cc2ccc(o2)C(=O)NC[C@@H](c3ccco3)[NH+]4CCCCC4
decoy,C35486713,Cc1cc2c(cc1C)oc3c(c2=O)[C@H](N(C3=O)CC[NH+](C)C)c4cc(c(c(c4)Br)O)OC
decoy,C39769050,C[C@@H](C(=O)N[C@](C)(C#N)C(C)C)S[C@@H]1NN=C(N1C2CC2)C3=c4ccccc4=[NH+]C3
decoy,C64653807,COc1ccc(cc1)/C=C\2/C(=O)N(C(=S)S2)CCC(=O)NCCC3=c4ccc(cc4=[NH+]C3)OC
decoy,C00828288,c1ccc2c(c1)nc(n2S(=O)(=O)c3ccc(c(c3)Cl)Cl)CNS(=O)(=O)c4ccc(c(c4)Cl)Cl
decoy,C10244910,CC[C@H](C)Sc1nc2c3ccccc3[nH]c2c(=O)n1c4ccc(c(c4)OC)OC
decoy,C21962702,CN(Cc1cnn(c1)c2ccccc2)C(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)c5cccs5
decoy,C12531465,C[C@@]1(CC[C@]2([C@@H](C1)C(C[C@@H]2[NH2+]C3CCN(CC3)C)(C)C)CCC(=O)NCCN4CCOCC4)O
decoy,C63752779,Cc1ccc2=[NH+][C@H](C(=c2c1)NC(=O)c3ccc(cc3)F)C(=O)NCc4c(nn(c4C)C)C
decoy,C06506953,c1ccc2c(c1)[nH]c3n2c(nn3)SCc4ccc(cc4)C#N
decoy,C12523502,c1ccc(c(c1)N2CC[NH+](CC2)CCCc3nc(no3)c4cccc(c4)C(F)(F)F)O
decoy,C34618050,c1cc(ccc1[C@@H](C(F)(F)F)O)[N+](=O)[O-]
decoy,C15277516,CCc1ccccc1Nc2nc(nc(n2)N)CSc3nc4ccccc4c(=O)n3c5cc(ccn5)C
decoy,C35744170,Cc1ccccc1OC[C@@H](C[NH+](Cc2ccccc2)Cc3c(noc3N4CCCC4)c5ccccc5)O
decoy,C19192936,Cc1ccc(c(c1)OCC(=O)NC[C@H](c2ccc(cc2)OC)c3c[nH]c4c3cccc4)[N+](=O)[O-]
decoy,C58236560,Cc1ccc(cc1)c2nc(cs2)CC(=O)N[C@H](C)c3ccc(cc3)NC(=O)N
decoy,C02329037,Cc1ccc(cc1)[C@H]2C(=C(NC3=C2C(=O)CCC3)SCC(=O)Nc4ccc(c(c4)C)C)C#N
decoy,C59287141,Cc1ccc(cc1)[C@@]2(C(=O)N(C(=O)N2)CC(=O)N[C@@H](C[NH+]3CCc4ccccc4C3)C(C)(C)C)C
decoy,C15218244,CC(C)(C)[C@H]1CC=C2[C@H](C1)[C@H](C(C(=C2C#N)N)(C#N)C#N)c3c[nH]c4c3cccc4
decoy,C01294390,C[C@@H](Cc1ccccc1)NC(=O)CSc2nnc3n2c4c(c5c(s4)COC(C5)(C)C)c(=O)n3c6ccccc6
decoy,C59146706,Cc1ccc(c(c1)C)n2c(c(c(n2)C)/C=N/NC(=O)C3CCCCC3)C
decoy,C20190312,CCS(=O)(=O)C(=C(Sc1ccccc1)Sc2ccccc2)S(=O)(=O)CC
decoy,C40043554,Cc1cc(c2c(c1)c(=O)c3c(o2)C(=O)N([C@H]3c4ccc(cc4)OCC(=O)N)CCc5ccc(cc5)OC)C
decoy,C13064685,CC[C@@H](c1nnnn1CCc2ccccc2)[NH+](Cc3ccc(cc3)C)Cc4cc5cc(c(cc5[nH]c4=O)C)C
decoy,C16647604,CCCCCc1ccc(cc1)C(=O)N2CCC3(CC2)C(=O)N(CN3c4ccccc4)CC(=O)NC[C@H](C)CC
decoy,C64808592,C[C@@H](c1ccccc1)N(C)C(=O)C[NH+](C2CCCC2)C3CC3
decoy,C13065090,CC[C@H](c1nnnn1CC(=O)OCC)[NH+](Cc2cccs2)Cc3cc4ccc(c(c4[nH]c3=O)C)C
decoy,C20418870,CC1=C([C@@H](C2=C(N1)C[C@@H](CC2=O)c3ccc(cc3)N(C)C)c4ccc5c(c4)OCO5)C(=O)OC[C@@H]6CCCO6
decoy,C35778715,CC[C@H](C[NH+](CCC(C)C)CC(=O)N1CCc2c(ccs2)[C@@H]1COc3ccc(cc3)C)O
decoy,C21707766,C[C@H]1C[C@@]2(CC(C1)(C)C)C(=O)N(C(=O)N2)CC(=O)Nc3ccccc3SCc4ccsc4
decoy,C20352598,Cc1cc(ccc1N[C@@H](C)C(=O)N/N=C/c2ccc(s2)[N+](=O)[O-])I
decoy,C35777194,Cc1c(c(n(n1)c2ccc(cc2)Cl)Oc3ccccc3)C[NH+](CC4CC4)C[C@@H](COC(C)(C)C)O
decoy,C02241486,Cc1cc(c(cc1Cl)c2c3c([nH]n2)C(=O)N([C@@H]3c4cccc(c4)Oc5ccccc5)CCCO)O
decoy,C12194583,CCC[C@]1(C(=O)N(C(=O)N1)CC[C@@H]2CCC[NH+]2C)C3CCN(CC3)C(=O)c4coc5c4C(=O)CCC5
decoy,C14605463,Cc1ccc(cc1)[C@@H]2C3=C(CC(CC3=O)(C)C)Nc4ccccc4N2CC(=O)NCC(C)C
decoy,C22986759,CC[C@@H](CNC(=O)CSc1nnc(n1N)c2ccc(cc2)C)c3ccccc3
decoy,C37136694,Cn1c2c(cn1)[C@@H](CCC2)Nc3ccc(cc3)NC(=O)N
decoy,C36156826,COCC[NH+](Cc1[nH]c(=O)c2c3c(sc2n1)CCCC3)C[C@H](COCc4ccco4)O
decoy,C15911006,Cc1ccc(cc1C)Nc2nnc(s2)SCc3[nH]c(=O)c4c5c(sc4n3)C[C@@H](CC5)C
decoy,C58247739,Cc1c([nH]c2c1cc(cc2)CNC(=O)N[C@@H](C)C(=O)NCc3ccco3)C
decoy,C04571588,C[C@@H]1CCc2c(sc3c2C(=N[C@H](N3)c4cccn4C)O)C1
decoy,C38661346,Cc1ccc(cc1)OC[C@H](CSC2=NC(=O)C3=C4CC[C@@H](C[C@@H]4SC3=N2)C)O
decoy,C02151836,CC1(CC(CC([NH2+]1)(C)C)N2CC(=O)N3[C@H](C2=O)Cc4c5ccccc5[nH]c4[C@@H]3c6ccccc6)C
decoy,C06198480,C[NH+](C)CCCN(Cc1cc2ccc(cc2[nH]c1=O)OC)C(=S)NC[C@H]3CCCO3
decoy,C39693523,CC(C)(C)OC(=O)NCCNC(=O)[C@H]1CN(CC12CC[NH2+]CC2)C(=O)[C@@H]3COc4ccccc4O3
decoy,C40110787,CCCCN1[C@@H](C(=C(C1=O)[O-])C(=O)c2ccc(cc2)S(=O)(=O)N(C)C)c3ccc(cc3)[N+](=O)[O-]
decoy,C36660351,CC[NH+](CC)CCN(c1nc2c(cccc2s1)C)C(=O)[C@H]3CCCN3S(=O)(=O)c4ccc(cc4)F
decoy,C63165372,Cc1c(n2c(n1)S[C@H](C2)C)/C=C/C(=O)NCCC3=c4ccccc4=[NH+]C3
decoy,C65190361,CCNC(=O)NNC(=O)CCc1ncc(o1)c2ccc(cc2Cl)Cl
decoy,C37332138,c1cc(c(c(c1)F)[C@H](c2cc3c(cc2Cl)OCCO3)[NH3+])F
decoy,C11224075,Cc1ccccc1N2C(=O)c3ccc(cc3C2=O)C(=O)O[C@H](C)C(=O)NCC4CCCCC4
decoy,C06148933,CC1CC[NH+](CC1)[C@@H](c2cc3cc(ccc3[nH]c2=O)OC)c4nnnn4Cc5ccc(cc5)OC
decoy,C36003053,Cc1c2c(nc(nc2n(n1)c3ccccc3)C4CCCCC4)NC5CCC(CC5)NC(=O)C(C)C
decoy,C36284355,Cc1ccc(cc1)c2nc3c(cccc3n2C(C)C)N
decoy,C39684159,Cc1cccc2c1[nH]cc2CCNC(=O)[C@@H]3CN(CC34CC[NH2+]CC4)C(=O)c5cccc(c5)N(C)C
decoy,C33258510,Cc1c(cn(n1)c2ccc(cc2)c3nc(on3)C)C(=O)Nc4cccc5c4CCCC5
decoy,C09272745,CCc1ccc(cc1)[C@@H]2C(=C(C(=O)N2CC[NH+](CC)CC)O)C(=O)c3ccc(cc3C)OCC(C)C
decoy,C18113945,Cc1cc(c(c(c1)C)N[S@@]2=NC(=NC(=N2)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl)C
decoy,C20513342,c1ccc2c(c1)[C@@]3([C@@H](C[C@@H]4[NH+]3CCC4)C(=O)Nc5c(cc(cc5Br)F)F)C(=O)N2
decoy,C41583845,Cc1c2ccc(c(c2oc(=O)c1c3ccccc3)C[NH+]4C[C@@H](C[C@H](C4)C)C)O
decoy,C36028065,CCCNC(=S)N1CCC2(CC1)[NH2+][C@H](C(=O)N2C3CC[NH+](CC3)Cc4ccccc4)[C@H](C)CC
decoy,C63652893,C[C@H]1C(=C(NN1c2ccc(nn2)N3CCCCC3)C)CCC(=O)NCCC4=c5ccccc5=[NH+]C4
decoy,C01362051,Cc1ccc(cc1N2CCN(CC2)[C@@H](c3cc4cc(cc(c4[nH]c3=O)C)C)c5nnnn5Cc6ccco6)Cl
decoy,C20644861,CC[C@@H](C(=O)NC[C@H]1CCCO1)Sc2nc3c(c(c(s3)C(=O)Nc4ccc(cc4C)C)C)c(=O)n2N
decoy,C42561287,C[C@H](C(=O)NC)Nc1ccc2c(c1N)ncs2
decoy,C38631948,C[C@H]1CC(=C(N1CCOC)C)C(=O)CSc2[nH]nc(n2)c3ccc(cc3)Br
decoy,C12934129,Cc1c(c(n2c(n1)nc(n2)N)C)CCC(=O)NCCc3ccc(cc3)C(F)(F)F
decoy,C43772526,C[C@H](CCCC(C)(C)O)[C@@H]1CC[C@@H]\2[C@]1(CCC/C2=C\C=C/3\C[C@@H](C[C@@H](C3=C)O)O)C
decoy,C62845498,CCCC1(CCN(CC1)C(=O)C2(CCCC2)[NH3+])C(=O)[O-]
decoy,C34830170,CCCC[C@@H](CC)C(=O)N1CCN(C[C@@H]1C)C(=O)CC[NH+]2CCc3c(ccs3)[C@@H]2c4ccc(cc4)C
decoy,C27531781,Cc1c2c(=O)n(c(=O)n(c2sc1C(=O)[O-])CC(=C)C)c3ccc(cc3)Cl
decoy,C39692638,Cc1ccc(cc1C)N2[C@H](N[NH2+]N2)SCC(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)[O-]
decoy,C46710012,CC(C)[C@@H](C(=O)N1CCC[NH+](CC1)Cc2cccs2)NS(=O)(=O)c3ccc(cc3)OC
decoy,C31038511,C[NH+](CC(=O)Nc1ccccc1SC)CC(=O)NC(=O)Nc2ccc3c(c2)OCCCO3
decoy,C20442216,CC1(Cc2c(c(nc3c2c4c(s3)c(nc(n4)SC)NCC[NH3+])N5CCOCC5)CO1)C
decoy,C06193801,CC[NH+](Cc1ccccc1)[C@H](c2cc3cccc(c3[nH]c2=O)C)c4nnnn4Cc5ccc(cc5)OC
decoy,C60427162,c1ccc2c(c1)c(=O)n(nn2)Cc3ccc(cc3)OC(F)F
decoy,C09271232,CC[NH+](CC)CCN1[C@H](/C(=C(/c2c(nc(s2)C)C)\O)/C(=O)C1=O)c3ccc(cc3)C(=O)OC
decoy,C32446731,CC[C@@H](CNC(=O)c1c(nn(c1Cl)Cc2ccc(cc2)C)C)[NH+]3CCc4ccccc4C3
decoy,C11854828,CCCc1cc(=O)[nH]c(n1)n2c(cc(n2)c3cccs3)NC(=O)[C@H]4CC(=O)N(C4)c5ccc(cc5)F
decoy,C09502944,C[NH+](Cc1ccc(o1)c2ccc(cc2)Cl)CC(=O)Nc3ccccc3SCC#N
decoy,C39686649,Cc1ccc(cc1C)C(=O)N2C[C@H](C3(C2)CC[NH2+]CC3)C(=O)N[C@H](C)Cc4ccccc4OC
decoy,C36519091,CCCCCCN([C@@H](c1ccc(cc1)C)C(=O)NC2CCCCC2)C(=O)CNC(=O)c3ccccc3
decoy,C47168495,C[C@]1(C(=O)NC(=O)N1)c2cccc(c2)NC(=O)c3cc4ccccc4s3
decoy,C24899324,Cc1ccc2c(c1)S(=O)(=O)N=C(N2)CN3CCC[NH+](CC3)C[C@H](COc4ccccc4)O
decoy,C49464304,Cc1cc(c(cc1C(=O)NC[C@@H]2C[C@@H]2C)S(=O)(=O)N)C
decoy,C36601890,Cc1ccc(cc1)S(=O)(=O)CNC(=O)[C@H](c2ccc3c(c2)OCO3)N(Cc4ccc(o4)C)C(=O)C(=C)C
decoy,C53632978,COC(=O)c1ccc2c(c1)N[C@H](N(C2=O)CCc3c[nH]c[nH+]3)SCc4ccccc4
decoy,C05953571,CCOc1ccc(cc1)/C=N/N=c\2/[nH]c(cs2)c3ccc(cc3)C
decoy,C33810556,CCCSc1[nH]c(=O)c2c(n1)NC3=C([C@H]2c4ccc(cc4)CC)C(=O)CC(C3)(C)C
decoy,C20497254,CC1CCN(CC1)c2ccc(cc2C(=O)Nc3cc(ccc3N4CCN(CC4)C(=O)C(C)C)Cl)[N+](=O)[O-]
decoy,C31835543,CC(C)c1c(cnn1c2ccc(cn2)C(F)(F)F)C(=O)Nc3nc(cs3)C(C)(C)C
decoy,C57933002,C[C@@H](C(=O)NC(=O)NC(C)C)Nc1ccc(cc1)CC[NH+]2CCSCC2
decoy,C35462892,C[NH2+][C@@H](c1ccc(cc1)Br)c2ccccc2C(F)(F)F
decoy,C15956621,CCc1cccc2c1NC(=O)[C@@]23[C@H]4[C@@H]([C@H](N3)CC(=O)N)C(=O)N(C4=O)Cc5ccccc5OC
decoy,C13500577,CCC(C)(C)n1c(nnn1)[C@@H](C(C)C)[NH+](CCCO)Cc2cc3cc(ccc3[nH]c2=O)OCC
decoy,C63732971,c1ccc2=[NH+]CC(=c2c1)CCNC(=O)c3cccc(c3)S(=O)(=O)NC[C@@H]4CCCO4
decoy,C16478521,c1ccc(cc1)[C@@H]2c3ccccc3NC(=[NH+]2)NNS(=O)(=O)c4ccc(cc4)Br
decoy,C64042780,c1ccc2c(c1)C[C@@H](OC2=O)C(=O)NC[C@@H](c3ccccc3Cl)C4=c5ccccc5=[NH+]C4
decoy,C40408644,CCCCOC[C@@H](C[NH+](Cc1ccco1)Cc2c(nn(c2Oc3cccc(c3)C)c4ccccc4)C)O
decoy,C63557057,c1cc2=[NH+]CC(=c2cc1Cl)CCN3C[C@H](CC3=O)C(=O)N[C@@H]4NN[C@@H](S4)C5CCCCC5
decoy,C39688762,Cc1c(c(on1)C)C(=O)N2C[C@@H](C3(C2)CC[NH2+]CC3)C(=O)N[C@@H](C)Cc4ccc(cc4)F
decoy,C36066426,C[C@@H]1CCCC[C@H]1NC(=O)[C@@H]2[C@@]34C=C[C@@H](O3)[C@@H]([C@@H]4C(=O)N2CCC(C)C)C(=O)Nc5cccc(c5)OC
decoy,C54163298,CC[C@H](C/C(=N/O)/N)NC(=O)c1cc(ccc1Cl)Br
decoy,C02457860,CCc1ccc(cc1)N2C(=O)Nc3ccc(cc3[C@]2(C(=O)N[C@@H](C)CC)O)Br
decoy,C19806344,CCOC(=O)/C(=C\1/CCc2c3cc(ccc3[nH]c2C1=O)C4CCCCC4)/[O-]
decoy,C10908762,c1ccc(cc1)n2cc(c(n2)c3ccc(cc3)F)CNC(=O)CCc4nc(no4)c5ccsc5
decoy,C02396428,Cc1ccc(cc1)S(=O)(=O)c2c3c(nc4ccccc4n3)n(c2N)/N=C/c5ccncc5
decoy,C40636081,CO[C@@H]1C[C@H]([NH2+]C1)C(=O)N2CCC(CC2)N3CCNC3=O
decoy,C39595362,C[C@@H](CNC(=O)[C@@H]1CN(CC12CC[NH2+]CC2)C(=O)c3ccc(cc3Cl)Cl)Oc4ccc(cc4)F
decoy,C01373419,c1ccc(c(c1)NC(=O)CSc2nnc3n2cnc4c3c(cs4)c5ccc(cc5)Cl)Br
decoy,C37866349,CC(=O)/[NH+]=c\1/ccc-2c(cc(oc2c1)O)COC(=O)C[C@@H]3C(=O)Nc4ccccc4S3
decoy,C39700611,CCN(CC)S(=O)(=O)C1=CC=C2C(=C(C=N2)/C=C/[C@@H]3Nc4ccccc4C(=O)N3c5ccccc5)C1
decoy,C11705754,Cc1cc(no1)C(=O)NC[C@H]2CCC[NH+](C2)Cc3ccc(s3)C#CC(C)(C)O
decoy,C67211611,C[C@H](C(=O)N[C@H](c1ccc(c(c1)F)F)C(=O)NC)NC(=O)OC(C)(C)C
decoy,C07049270,Cc1ccc2cc(c(nc2c1C)Cl)CSc3nc(cc(n3)N)C
decoy,C45329773,CCOC(=O)C[C@H](C[C@@H](/C=C/c1c(nc(nc1C(C)C)N(C)S(=O)(=O)C)c2ccc(cc2)F)O)O
decoy,C12090163,CC[NH+]1[C@H]([C@H](C[C@@]1(C)CO)C[NH2+]CC2CC2)c3ccc(cc3)Cl
decoy,C36694867,C[C@H]1C[C@@]2(CC(C1)(C)C)C(=O)N(C(=O)N2)CC(=O)N3CCCc4c3cccc4
decoy,C41262316,CNC(=O)C1CCN(CC1)C(=O)C2CCCCC2
decoy,C12860729,c1cc(c(cc1[N+](=O)[O-])C(=O)NC(=S)Nc2c(c3c(s2)CCC3)C#N)N4CCOCC4
decoy,C63694186,C[C@@H]1[C@H]([C@@H](N(N1)c2ccccc2)[NH+]3CCC(CC3)C(=O)NCCC4=c5ccccc5=[NH+]C4)NC(=O)C
decoy,C43746583,C[C@@H](C(=O)NCCC1=CCCCC1)NC(=O)[C@H]2Cc3c4ccccc4[nH]c3[C@H]5N2C(=O)c6c5cccc6
decoy,C52879865,C[C@@](c1ccccc1)(C(=O)[O-])Nc2nc3ccccc3o2
decoy,C38701981,Cc1ccc(c(c1)c2c3c([nH]n2)C(=O)N([C@@H]3c4ccc(cc4)C(C)C)[C@@H]5CCS(=O)(=O)C5)O
decoy,C09783893,CC[C@@H](C)OC(=O)C[C@@H]1C(=O)NCCN1C(=S)NC(=O)c2ccc(c(c2)Br)OC(C)C
decoy,C39664968,C[C@H](CNC(=O)[C@@H]1CN(CC12CC[NH2+]CC2)C(=O)c3ccc(cc3Cl)Cl)Oc4ccccc4
decoy,C08891699,CC[C@]1(C(=O)N(C(=O)N1)CC(=O)N(CC)c2cccc3c2cccc3)c4ccc(cc4)F
decoy,C40529618,c1cc(c(c(c1)Cl)[C@@H]2c3ccc(cc3OC(=C2C#N)N)OC(=O)COc4ccc(cc4)[N+](=O)[O-])Cl
decoy,C28679171,CCOC(=O)[NH+]=c1ccc-2c(cc(oc2c1)O)COC(=O)CNC(=O)c3cc(cc(c3)C)C
decoy,C28864152,Cc1c2ccccc2sc1C[NH+]3CCc4c(c(=O)n(c(n4)[O-])CC[NH+](C)CCc5ccccn5)C3
decoy,C13064623,CC[C@H](c1nnnn1C[C@@H]2CCCO2)[NH+](Cc3ccc4c(c3)OCO4)Cc5cc6cc(c(cc6[nH]c5=O)C)C
decoy,C36556352,CCCCNC(=O)[C@H](c1ccc(cc1)C(F)(F)F)N(Cc2ccc(o2)C)C(=O)[C@H](c3ccccc3)OC
decoy,C43301624,CCC[NH+]1CCN(CC1)Cc2[nH]c(=O)c3c4c(sc3n2)CCCC4
decoy,C09019224,c1ccc(cc1)C(c2ccccc2)[NH+]3CCN(CC3)c4c(nc5ccccc5n4)[C@H](C#N)C(=O)NC6CC6
decoy,C08920594,CCC[NH+]1CCc2c(sc(c2C(=O)NC)NC(=O)c3ccc(cc3)S(=O)(=O)N4CCC[C@@H](C4)C)C1
decoy,C33115985,C[C@H]1CCCC[NH+]1CCN/C(=C/C2CCN(CC2)C(=O)c3ccc4c(c3)oc(n4)c5ccccc5)/[O-]
decoy,C01375443,CC[C@@H](c1nnnn1Cc2ccc(cc2)OC)N(Cc3ccc4c(c3)OCO4)Cc5cc6ccc(c(c6[nH]c5=O)C)C
decoy,C38595959,C[C@@H]([C@H](c1cccs1)N2CC[NH+](CC2)Cc3ccccc3)NC(=O)CN4C(=O)c5ccccc5C4=O
decoy,C40023891,C[C@H](C(C)C)NC(=O)Nc1cc2c(cc1Cl)OCO2
decoy,C17749652,C[C@H](C(=O)Nc1cc(ccc1Cl)[N+](=O)[O-])Sc2[nH]c(cn2)c3ccc(cc3)F
decoy,C09309420,[H]/N=C\1/C(=C/c2cc(n(c2C)c3cc(ccc3OC)C)C)/C(=O)N=C4N1N=C(S4)c5ccccc5
decoy,C33122862,Cc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)c3nc(on3)Cc4cccs4
decoy,C41600422,CC[C@@H]1CNc2cc(ccc2O1)S(=O)(=O)NC(C)(C)C
decoy,C42909941,Cc1cc(n(n1)C[C@@H](C)CNC(=O)NC2CC([NH2+]C(C2)(C)C)(C)C)C
decoy,C08591019,Cc1cccc(c1)C(=O)N[C@@]2(C(=O)N(C(=[NH+]2)c3ccccc3)C4CCCCC4)C(F)(F)F
decoy,C35167360,Cc1ccc(c(c1)Cl)NC(=O)CSc2nnc(o2)c3ccccc3Br
decoy,C35933506,CC(C)NC(=O)c1c2c([nH]n1)CCN(C2)C(=O)C(C)(C)C
decoy,C09361158,Cc1ccc2nc(c(c(=O)n2c1)/C=C/3\C(=O)N(C(=S)S3)[C@H](C)c4ccccc4)N5C[C@H](C[C@@H](C5)C)C
decoy,C40376300,CN(CC/C(=N/O)/N)S(=O)(=O)c1cc(sc1Cl)Cl
decoy,C39674607,Cc1ccccc1C(=O)N2C[C@H](C3(C2)CC[NH2+]CC3)C(=O)NCCC4=c5cc(ccc5=[NH+][C@H]4C)C#N
decoy,C08978292,CCCCc1nnc(n1N)SCC(=O)Nc2c(c3c(s2)C[C@H](CC3)C)C(=O)OCC
decoy,C40900545,Cc1ccc(cc1)CCNC(=O)[C@H]2CCCN(C2)c3ccc(cc3F)c4nc(on4)c5ccc6c(c5)OCO6
decoy,C09009303,CC1(CC2=C([C@@H](C(=C(N2c3cccc(c3)[N+](=O)[O-])N)C#N)c4c(cccc4Cl)F)C(=O)C1)C
decoy,C09545852,CCCCCn1c(=O)c2ccccc2c(n1)C(=O)Nc3cccc(c3)S(=O)(=O)NC4=[NH+]CCC4
decoy,C39636680,Cc1ccc(c(c1)CNC(=O)[C@H]2CN(CC23CC[NH2+]CC3)C(=O)c4cnc5c(c4Cl)c(nn5C)C)C
decoy,C02923141,Cc1ccc(cc1)Sc2ccc(cc2NC(=O)C)C(=O)N3CCN(CC3)c4cccc[nH+]4
decoy,C44021336,Cc1cc(c(c(c1)C)Nc2cc(=O)n(c(=O)[nH]2)C34CC5CC(C3)CC(C5)C4)C
decoy,C33040257,C[C@H](CCc1ccccc1)NC(=O)[C@@H](C)[NH+]2CCN(CC2)c3ccc(cc3)[N+](=O)[O-]
decoy,C62990948,c1cc(c(cc1Br)C(F)(F)F)/N=C(/C2CCCCC2)\N
decoy,C22373393,c1ccc2c(c1)c(c[nH]2)c3cs/c(=N\C(=O)C[NH+](Cc4cccs4)C[C@H]5CCCO5)/[nH]3
decoy,C50274431,CC(C)c1ccc(cc1)CCNC(=O)CN2Cc3ccccc3C[C@H]2C(=O)N
decoy,C52094694,CCC[NH2+][C@H](CC(F)(F)F)c1cc2c(cc1Br)[nH]c(=O)[nH]2
decoy,C09391511,CCOC(=O)c1c2c(sc1NC(=O)c3ccc(cc3)S(=O)(=O)N4CCCCC4)C([NH2+]C(C2)(C)C)(C)C
decoy,C39929029,Cc1cccc(c1C)N(C[C@@H]2C=c3cc(ccc3=[NH+]C2=O)OC)C(=O)c4cc(c(c(c4)OC)OC)OC
decoy,C02957647,Cc1cc(cc(c1)n2c(c(nn2)C(=O)NCCc3ccc(cc3)Cl)N)C
decoy,C04798523,c1ccc2c(c1)ccc(c2Cl)N/N=C/3\c4ccccc4C=CC3=O
decoy,C09432021,CCCOc1ccc(cc1)[C@@H]2c3c(nn(c3NC(=O)CS2)[C@H]4CCOC(C4)(C)C)O
decoy,C04537326,c1cc(sc1)c2nnc(n2N)SCC(=O)Nc3ccc(cc3)Cl
decoy,C03668419,CCOC(=O)c1c2c(sc1N3C4=C([C@@H](C(=C3N)C#N)c5cccc(c5)[N+](=O)[O-])C(=O)CCC4)CCCC2
decoy,C49987589,Cc1ccc(c(c1)C)N(C)c2c(n3ccsc3n2)CO
decoy,C15670278,CCc1ccc(cc1)[C@@H]2CC(=O)Nc3c2c(nn3c4nc(cnn4)c5ccccc5)C
decoy,C63515159,CCN\1C(=O)C[C@@H](S/C1=N\c2ccc(cc2)CC3[NH+]=c4ccccc4=[NH+]3)C(=O)Nc5ccccc5
decoy,C20755828,Cc1ccc(c(c1)C)NS(=O)(=O)c2cccc(c2)C(=O)N/N=C/c3c(cccc3Cl)F
decoy,C39940113,C[C@H]1C(=c2ccccc2=[NH+]1)C(=O)[C@H](C)S[C@@H]3NN=C(N3CC=C)[C@@H]4COc5ccccc5O4
decoy,C28057641,Cc1ccc2c(c1)C3=C([C@H](n4c(nnn4)N3)c5ccccc5F)[C@@H](O2)c6cccs6
decoy,C05137081,Cc1cc(ccc1[N+](=O)[O-])C(=O)NCCc2c(nc(s2)c3cccc(c3)F)C
decoy,C63426811,C/C(=C/1\C(=O)NC(=O)N(C1=O)c2ccccc2)/N[C@@H](CC3=c4ccccc4=[NH+]C3)C(=O)OC
decoy,C05522875,c1ccc(cc1)N(c2ccccc2)C(=O)CSc3[nH]nc(n3)c4ccccc4O
decoy,C15829682,CCc1cccc(c1NC(=O)CSc2nnc3n2cnc4c3c5c(s4)CCCC5)C
decoy,C45047151,CC1(CCCCC1)NC(=O)[C@@H]2CCc3ccccc3N2
decoy,C40562324,C[C@H](C(=O)Nc1c2ccccc2oc1C(=O)c3ccc4c(c3)OCCO4)Oc5ccc(cc5)Cl
decoy,C60380091,C[C@@H](CNc1c2c(csc2nc(n1)CN3CCOCC3)c4ccccc4)Cn5cc[nH+]c5
decoy,C09429122,C[C@H]1Cc2cc(ccc2N1C(=O)C)S(=O)(=O)N[C@H](C(C)C)C(=O)NC3CCCCCCC3
decoy,C04860316,CCOC(=O)c1c(c2cc(ccc2[nH]1)F)NC(=O)[C@@H](C)[NH+]3C[C@@H](C[C@@H](C3)C)C
decoy,C06546494,CCOC(=O)CNC(=O)CN(c1cc(cc(c1)C)C)C(=O)c2c(c(ns2)C(=O)N)N
