name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id
,,C=CCCC(F)(F)C(=O)N[C@H](CNC(=O)C=CCF)c1ccccc1,,,,,,ZINCpA00000nt0jt
,,CC1=NO[C@H](C(=O)NC[C@@H](C)CNC(=O)c2ccc(C)nc2O)[C@H]1C,,,,,,ZINCpb00000ttFoG
,,N#Cc1ccc(N2CC[C@@H](NC(=O)[C@@H](O)CC3CCC3)C2)nn1,,,,,,ZINCnb00001A3V7l
,,CC1=NO[C@H](C(=O)N[C@](C)(CO)CNC(=O)[C@H]2C[C@@]3(CC3(F)F)C2)C1,,,,,,ZINCpb00000ttH6k
,,CN1CCC[C@](C)(C(=O)N2CC=C[C@H](C(=O)N[C@@]3(C)CC3(C)C)C2)C1,,,,,,ZINCpq00000mdm6I
,,COCC1(C(=O)NC(C)(C)CNC(N)=O)CC(N)C1,,,,,,ZINCj500000BmFXS
,,CC1=NO[C@H](C(=O)N2CC[C@@H](CO)[C@H](NC(=O)c3csc(C)n3)C2)C1,,,,,,ZINCpb00000ttDzX
,,COC[C@]1(C(=O)NCC(C)(C)C(F)F)C=CCN1,,,,,,ZINCif00000BmFXG
,,Cc1[nH]c(C#N)cc1C(=O)N[C@@H](CCC(C)C)C(=O)NC12CC(C1)C2,,,,,,ZINCpt00000iVBT8
,,N#Cc1ccc(I)c(N2CCN(C(=O)N3CCOCC3)CC2)n1,,,,,,ZINCnh00001A3V73
,,N#Cc1ccc(C(=O)N[C@@H](CC(=O)N2C[C@H](O)CO2)C2CC2)s1,,,,,,ZINCnc00001A3V6P
,,C[C@@H](NC(=O)C12CC(C[C@@H]1C(=O)O)C2)c1cccs1,,,,,,ZINCju00000eTefF
,,CC(C)(C)OC(=O)N1CC2(C[C@H](CNC(=O)c3coc(O)n3)CO2)C1,,,,,,ZINCpd000015Klan
,,CC(C)C(=O)C(=O)N1CC2(C[C@@H](NC(=O)[C@H](O)CC(C)(C)C)CO2)C1,,,,,,ZINCpa000015KlaD
,,CCOC(=O)[C@H](CC)C(=O)N1CC[C@@](CF)(C(=O)OC)C1,,,,,,ZINClf000007ehhA
,,CSCC[C@@H](C)NC(=O)[C@H]1CCN(C(=O)C2=CCCCCC2)C12CC2,,,,,,ZINCpF00000sZ5Ax
,,CO[C@H](CC1CC1)C(=O)N[C@H]1CC[C@@H](NC(=O)[C@H](C)CC(C)C)C1,,,,,,ZINCow00000pgLsF
,,CCC#CCN=c1[nH]ccc(=N[C@H]2CCN(c3ccn(C)n3)C2)[nH]1,,,,,,ZINCon00000t7H2h
,,CN(CCC(=O)NC1([C@@H](O)CO)CC1)C(=O)[C@@H]1CCCCNC1=O,,,,,,ZINCo400000HLYHZ
,,CC(C)(C)OC(=O)N1CC2(C[C@@H](CNC(=O)[C@H]3C[C@@H]3[N+](=O)[O-])CO2)C1,,,,,,ZINCpd000015Klao
,,COC(=O)[C@@]12CC[C@@](C(=O)NC3(C4CCCC4)CCC3)(CN1)C2,,,,,,ZINCnp00001A3Jgd
,,CC[C@H](C)CCC(=O)N1CCC[C@](F)(CNC(=O)[C@H](C)COC)CC1,,,,,,ZINCpz00000xA6ft
,,C[C@@H]1CN2CCC[C@H]2CN1C(=O)[C@H]1CCCN(CC2CCC2)C1,,,,,,ZINCnr00000otW79
,,CSCC[C@H](C)NC(=O)[C@H]1CCN(C(=O)C2=CCCCCC2)C[C@H]1C,,,,,,ZINCpG00000sZ5Az
,,COC(=O)[C@@]12CC[C@@](C(=O)N(C)CCc3noc(C)n3)(CO1)C2,,,,,,ZINCna00001A3JgC
,,C=C(C)CCN=c1[nH]c(N2C[C@]34CCC[C@]3(COC4)C2)nc(=N)[nH]1,,,,,,ZINCoo00000t7H2j
,,COC(=O)C12CCC(C(=O)N[C@@H]3[C@H](CN)CCC34CCC4)(C1)C2,,,,,,ZINCnn00001A3JgT
,,C[C@@H]1CN(C(=O)c2ccccc2)[C@H]1C(=O)Nc1ccccc1CCO,,,,,,ZINCpt00000tAh2c
,,CC[C@@H](C)C=CC(=O)N1CCC[C@](F)(C(=O)N2CCCC3(CC3)C2)C1,,,,,,ZINCpD00000xA6fv
,,C[C@@H]1CN(C(=O)C2CC(C)(C)C2)[C@@H]1C(=O)NCc1cc(C2CC2)no1,,,,,,ZINCpu00000tAh2g
,,C=CCC[C@H](C)Nc1cc(N2C[C@H](CO)OC3(CCC3)C2)nc(C)n1,,,,,,ZINCpw00000xEMWS
,,CCOC(=O)[C@H](F)C1CN(C(=O)c2cn(C)nc2CC)C1,,,,,,ZINClf000007ehCV
,,CC[C@@](C)(CN=c1[nH]c(N2CC[C@@H](C)C2)nc2c1COC2)C(N)=O,,,,,,ZINCom00000t7H2z
,,C=C1CC[C@@H](CN(CCC(C)(C)OC)C(=O)C2=CCN(C)CC2)C1,,,,,,ZINCoC00000t65k0
,,COC(=O)[C@@]12CC[C@@](C(=O)Nc3cc4c(cn3)CCC4)(CO1)C2,,,,,,ZINCnm00001A3Jge
,,C#CC[C@H](O)C(=O)NC/C=C/CC(=O)N1CCCC[C@H]1C#C,,,,,,ZINCma00000wZXmZ
,,CN(CCC(=O)NC1([C@H](O)CO)CC1)C(=O)[C@H]1CC(=O)OC1(C)C,,,,,,ZINCo500000HLYI1
,,CC[C@](C)(O)C(=O)N1CC2(CO)CC1(C(=O)NC[C@H](O)C(C)(C)C)C2,,,,,,ZINCp6000015Klbb
,,C[C@@H]1CN(C2CC2)CCN1C1CCN(Cc2ccccc2)CC1,,,,,,ZINCny00000otW7e
,,CN(CCC(=O)NC1([C@@H](O)CO)CC1)C(=O)[C@@]1(C#N)CCCOC1,,,,,,ZINCo500000HLYHV
,,CCOC(=O)[C@H]1CCCN(S(=O)(=O)N2CCS[C@@H](C)C2)C1,,,,,,ZINClf000007ei0R
,,COC(=O)[C@@]12CC[C@@](C(=O)N[C@@H]3[C@H]4C[C@@H]5CO[C@@H]3[C@H]5C4)(C1)NC2,,,,,,ZINCn800001A3JgS
,,C[C@@H](CCCNC(=O)CCOC1CCC1)NC(=O)[C@H]1CCOC1(C)C,,,,,,ZINCpr00000iFAHK
,,C[C@@H]1CN(C(=O)N[C@@H]2C[C@@H]3COC[C@H]32)CC[C@H]1NC(=O)OC(C)(C)C,,,,,,ZINCpp00001BNeR2
,,CCOC(=O)[C@H]1CCCN(C(=O)C2(OC)CCOCC2)C1,,,,,,ZINClf000007ehYH
,,CC[C@](C)(O)C(=O)N1CC2CC(C(=O)NC[C@@H](OC)C(F)(F)F)(C2)C1,,,,,,ZINCpg000015Klaf
,,COC(=O)[C@]12CC[C@](C(=O)N[C@@H]3C[C@@H](O)C34CC(F)(F)C4)(C1)C2,,,,,,ZINCnj00001A3JgQ
,,C[C@H](NC(=O)[C@@]12CCC[C@@H]1[C@H]2Br)C(=O)C1CC1,,,,,,ZINChq00000eTefE
,,COC(=O)[C@@]12CC[C@@](C(=O)Nc3ccc(CC#N)cc3)(CO1)C2,,,,,,ZINCno00001A3Jgf
,,CN1C[C@@H](Nc2cc(S(=O)(=O)N(C)C)ccc2N(C)C)CCC1=O,,,,,,ZINCog00000HbAax
,,C[C@H]1CN(C(=O)C2=CCCCC2)[C@@H]1C(=O)NCC12CCC(CC1)OC2,,,,,,ZINCpu00000tAh2f
,,CSCC[C@H](C)NC(=O)[C@@H]1C[C@H](C)CCN1C(=O)Cc1cc(C)cs1,,,,,,ZINCpE00000sZ5Ap
,,FC(F)(F)COc1ccc(N2CC[C@@H](OCC3CC3)C2)nc1,,,,,,ZINCmA00000dzb9D
,,COC(=O)C12CCC(C(=O)N3CCO[C@@H](C(C)(C)F)C3)(CC1)O2,,,,,,ZINCni00001A3Jgc
,,CC[C@H](C)CC(=O)NNC(=O)c1cc(-c2ccccc2)[nH]n1,,,,,,ZINCms000000Azf0
,,COC(=O)[C@@]12CC[C@@](C(=O)NC[C@@H]3CC[C@H]4CNC[C@H]43)(CO1)C2,,,,,,ZINCna00001A3JgJ
,,CC(C)CCN=c1[nH]c(C(=O)N2CC3(COC3)[C@@](F)(CO)C2)cs1,,,,,,ZINCon00000t7H2i
,,COC(=O)[C@@]12CC[C@@](C(=O)NCc3ccnc(OC)c3)(CO1)C2,,,,,,ZINCne00001A3Jgw
,,C[C@@H]1CN(c2nccc3n[nH]cc23)CCN1c1ccc(F)cn1,,,,,,ZINCns00000otW7r
,,C[C@@H]1CN(C(=O)C2CC(C)(C)C2)[C@@H]1C(=O)N1CCC2(CC1)C[C@H]2C#N,,,,,,ZINCpu00000tAh27
,,CC[C@@H](CCCC(=O)N1CCC=C(F)C1)NC(=O)[C@@H](CC(C)C)OC,,,,,,ZINCpB00000xA6fl
,,C[C@@H](CCCNC(=O)C(F)=C1CCCC1)NC(=O)CSc1nc[nH]n1,,,,,,ZINCpq00000iFAHQ
,,CC[C@](C)(O)C(=O)N1CC2(C[C@@H](C(=O)N3CC[C@H]4CCC[C@H]43)CO2)C1,,,,,,ZINCph000015Klap
,,C=C[C@](C)(O)C(=O)N1C[C@@]2(CNC(=O)C3=CCCC[C@@H]3C)C[C@H]1CO2,,,,,,ZINCph000015KlaT
,,CC(C)C[C@H](C)Nc1ccc(S(=O)(=O)N(C)C[C@@H]2CCCN2C)cn1,,,,,,ZINCpw00000xEMWE
,,CN1C[C@H](C(=O)O[C@@H]2CCc3ccccc3NC2=O)OCCC1=O,,,,,,ZINCod00000HbAar
,,CC(C)C(=O)C(=O)N1CC2(C[C@H](C(=O)Nc3ccc[n+]([O-])c3)CO2)C1,,,,,,ZINCp7000015Klar
,,C#CC[C@@H](O)C(=O)N(CC#C)CC(=O)N1CCC[C@](C)(F)C1,,,,,,ZINCm700000wZXmX
,,C[C@H]1CN(C(=O)C2CC(C)(C)C2)CCN1S(=O)(=O)C[C@@]1(C)CC1(F)F,,,,,,ZINCpt00000tAh24
,,CCOC(=O)[C@H]1CCCN(C(=O)c2ccn(COC)n2)C1,,,,,,ZINClf000007ehZY
,,CC[C@H](C)C(=O)NCC1(NC(=O)OC(C)(C)C)CCOCC1,,,,,,ZINCms000000Azc3
,,C#CC[C@@H](O)C(=O)NC/C=C/CC(=O)N1CC(C)(C)C[C@@H]1C,,,,,,ZINCmg00000wZXmV
,,CC(C)C[C@@H](C)Nc1ccc(S(=O)(=O)N[C@@H]2CC23CC(O)C3)cc1F,,,,,,ZINCpy00000xEMWL
,,CC[C@@H](C)CCC(=O)N1CCC[C@@](F)(CNC(=O)C2CC(CF)C2)C1,,,,,,ZINCpC00000xA6fo
,,CC(C)C(=O)C(=O)N1CC2CC(C(=O)N[C@H]3CC[C@H](N(C)C)C3)(C2)C1,,,,,,ZINCpg000015Klah
,,C[C@@H]1CN(C(=O)C2CC(C)(C)C2)[C@@H]1C(=O)Nc1ccccc1CCO,,,,,,ZINCpu00000tAh2d
,,C[C@H]1CN(C2CC2)CCN1Cc1c(-c2n[nH]cc2Cl)ncn1C,,,,,,ZINCnr00000otW7f
,,C[C@@H]1CN(C(=O)C2=CCCCC2)[C@@H]1C(=O)Nc1ccc(N(C)C)nc1,,,,,,ZINCpu00000tAh2e
,,COC(=O)C12CCC(C(=O)N[C@@H]3CN(C)CC34CC4)(CC1)NC2,,,,,,ZINCn800001A3JgU
,,CCOC(=O)[C@H](NC(=O)[C@@H]1[C@@H]2C[C@H]2[C@H]2C[C@H]21)[C@@H]1CCOC1,,,,,,ZINClf000007ehLu
,,COC(=O)[C@@]12CC[C@@](C(=O)Nc3cccc(F)c3OC)(CN1)C2,,,,,,ZINCnk00001A3Jgg
,,C[C@H](CC(=O)NC[C@H](O)C(=O)NCC1(CCO)CCC1)C(C)(C)C,,,,,,ZINCoi00000sIKbX
,,C[C@H](CCCNC(=O)C(F)=CC1CC1)NC(=O)c1cncc(C#N)c1,,,,,,ZINCps00000iFAHR
,,CSCC[C@H](C)NC(=O)[C@H]1C[C@@H](N=[N+]=[N-])CN1C(=O)c1sccc1Cl,,,,,,ZINCpF00000sZ5At
,,CO[C@H](C(=O)N(Cc1ccccn1)C[C@]1(Cl)CC1(F)F)C(C)C,,,,,,ZINCnA00000sYn7D
,,CC#CC[C@H](C)Nc1cc(N2CC[C@@H](c3ccnn3C)C2)nc(C)n1,,,,,,ZINCpx00000xEMWQ
,,CO[C@H](C(=O)N(Cc1ccc(C)nc1)CC1(C)CC1)C1CCC1,,,,,,ZINCnD00000sYn7J
,,C[C@H]1CN(C(=S)NC(=O)C2CCOCC2)CC[C@@H]1NC(=O)C(F)(F)F,,,,,,ZINCpi00001BNeRH
,,COC(=O)[C@@]12CC[C@@](C(=O)N=c3cnn(CC4CC4)[nH]3)(CN1)C2,,,,,,ZINCn900001A3Jgn
,,CC(C)C(=O)C(=O)N1CC2=C(CN(C(=O)C=CCN3CCCC3)C2)C1,,,,,,ZINCpe000015KlaI
,,CCOC(=O)[C@H](F)CCNC(=O)[C@](C)(NC(C)=O)C(C)C,,,,,,ZINClf000007ehEp
,,CO[C@H](C(=O)N(Cc1ccccn1)C[C@@]1(C)C[C@H]1C)C1(C)CC1,,,,,,ZINCnC00000sYn7B
,,CO[C@@H](CC1CC1)C(=O)N[C@H]1C[C@H]1CNC(=O)CCCC(C)(C)C,,,,,,ZINCow00000pgLsJ
,,CC/C=C\CN=c1[nH]c(N2Cc3c[nH]nc3C(C)(C)C2)nc(=N)[nH]1,,,,,,ZINCoo00000t7H2m
,,CC[C@H](C(N)=O)N(C)Cc1cccc(Br)c1OCC(C)(C)O,,,,,,ZINCms000000Az4i
,,C[C@@H]1CN2CCC[C@@H]2CN1Cc1cccc(-c2nc(=N)s[nH]2)c1,,,,,,ZINCnu00000otW76
,,C[C@H](CC(=O)NC[C@@H](O)C(=O)NC1(CO)CCCC1)CC(C)(C)C,,,,,,ZINCoj00000sIKbU
,,CC(C)(CCN=c1[nH]c(N2CC=C(CO)CC2)nc(=N)[nH]1)C1CC1,,,,,,ZINCoo00000t7H2v
,,C#CC[C@H](O)C(=O)NCCCCC(=O)N1CC(C(C)(C)C)C1,,,,,,ZINCmh00000wZXmQ
,,C[C@@H]1CN(C(=O)N[C@@H]2CCON(C(=O)OC(C)(C)C)C2)CC(F)(F)O1,,,,,,ZINCpp00001BNeR6
,,CC1(C)C[C@H](CN(CCCC[C@@H]2CCCO2)C(=O)[C@@H]2C[C@@H]2F)CO1,,,,,,ZINCoD00000t65jX
,,CC[C@H](C)C=CC(=O)N1CC[C@@](CF)(C(=O)NCc2ccoc2C)C1,,,,,,ZINCpz00000xA6fB
,,C/C=C/C=C/C(=O)N(C)CC1CN(C(=O)Cc2cccnc2Cl)C1,,,,,,ZINCot00000ib7xB
,,CC1(C)C[C@@H](CN(CC(C)(C)C(F)F)C(=O)Cn2ccnc2)CO1,,,,,,ZINCoy00000t65jV
,,C[C@@H]1CN(C(=O)N[C@H]2C[C@H]3C[C@H]2C[C@@]3(O)C(F)(F)F)CC2(COC2)O1,,,,,,ZINCpi00001BNeR1
,,CN1C[C@@H](C(=O)O)N(C(=O)c2nc3cc(Br)ccc3n2C)CC1=O,,,,,,ZINCod00000HbAas
,,CC(C)(C)OC(=O)N1CC2(C[C@H](NCC(=O)N3CCOCC3)CO2)C1,,,,,,ZINCp8000015KlaC
,,C[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H](C(=O)N2CCO[C@@H]3C[C@H](C)[C@@H]32)O1,,,,,,ZINCpm00001BNeRA
,,CC(C)(C)CN=c1[nH]c(N2CC[C@@H](c3cnccn3)C2)nc(=N)[nH]1,,,,,,ZINCom00000t7H2y
,,C[C@@H]1CN(c2ccccc2)CCN1CC(=O)NC1CC(F)(F)C1,,,,,,ZINCnr00000otW7m
,,C=C1CC[C@H](CN(CCC(C)(C)OC)C(=O)CN2C[C@H]3C[C@H]3C2)C1,,,,,,ZINCoz00000t65k8
,,CC[C@H](C)C(=O)NCC(=O)O[C@H](C)COc1cccc(F)c1,,,,,,ZINCms000000Azc0
,,C[C@@H]1CN(C(=O)OC(C)(C)C)CC[C@H]1C(=O)N[C@@](C)(C(N)=O)C(F)F,,,,,,ZINCpl00001BNeRd
,,C=C=CCCN=c1[nH]c(N2CCC[C@H](C(N)=O)C2)nc2c1CCC2,,,,,,ZINCoo00000t7H2t
,,CC(C)C[C@@H](C)Nc1cc(N2CCn3c(nnc3C3CC3)C2)ncn1,,,,,,ZINCpy00000xEMWT
,,CCOC(=O)[C@H](C[C@@H](C)CC)NC(=O)CCCNC(N)=O,,,,,,ZINClf000007ehx4
,,CCC#CCN=c1[nH]c(N2CC[C@]3(CC[C@@H](OC)C3)C2)nc(=N)[nH]1,,,,,,ZINCom00000t7H2o
,,CCOC(=O)[C@H](F)[C@H]1CCN(C[C@H](O)CN(C)C(C)C)C1,,,,,,ZINClf000007ehHL
,,C[C@@H]1CN(C2CC2)CCN1Cc1ccnc(-c2ccnnc2)c1,,,,,,ZINCns00000otW7h
,,C=C[C@@](C)(O)C(=O)N1CC2CC(C(=O)NCCN3CCCCC3)(C2)C1,,,,,,ZINCpd000015Klag
,,CN(CCC(=O)NC1([C@H](O)CO)CC1)C(=O)CO[C@H]1CCCOC1,,,,,,ZINCo500000HLYI2
,,CC=C[C@H](O)C(=O)NCC(C)(C)C(=O)N1CCCCC[C@@H]1C,,,,,,ZINCmo00000wZXmW
,,CC(C)(CO)C(=O)N1CC2(C[C@H](C(=O)NCCc3nccs3)CO2)C1,,,,,,ZINCpa000015Klat
,,C/C=C/C=C/C(=O)N(C)CC1CN(C(=O)c2nn(C)c(C)c2Br)C1,,,,,,ZINCor00000ib7xz
,,CC(C)(C)OC(=O)N1CC2(CC(=O)CN2CC(=O)CCS(C)(=O)=O)C1,,,,,,ZINCp8000015KlaM
,,C[C@H]1CN(Cc2cc(-c3cc4ccccc4n3C)n[nH]2)CCO1,,,,,,ZINCnx00000otW7u
,,C[C@@H](CC(=O)NC[C@H](O)C(=O)N=c1ccn(C(C)(C)C)[nH]1)C(F)F,,,,,,ZINCoj00000sIKbR
,,C[C@@H](CC(=O)NC[C@H](O)C(=O)Nc1cccc(N(C)C)c1)C(F)F,,,,,,ZINCok00000sIKbO
,,C[C@H](CC(=O)NC[C@H](O)C(=O)NCc1cccc(F)n1)C(C)(C)C,,,,,,ZINCoj00000sIKbW
,,C[C@H](CC(=O)NC[C@H](O)C(=O)NCc1ccccc1)c1ccco1,,,,,,ZINCol00000sIKbV
,,C[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1C(=O)N1C[C@@]2(F)CC[C@@]1(CO)C2,,,,,,ZINCpp00001BNeRm
,,C[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H](C(=O)N2CC[C@]3(CC[C@H]3O)C2)O1,,,,,,ZINCpj00001BNeRy
,,CCOC(=O)[C@H](CC(F)(F)F)NC(=O)[C@@H]1C[C@@H]1[C@@H]1C[C@@H]1N,,,,,,ZINClf000007ehga
,,C[C@H]1CN(c2ccc(NC(=O)N=c3nc[nH][nH]3)cc2)C[C@@H](C)O1,,,,,,ZINCnq00000otW7o
,,CCC[C@H](O)C(=O)NCCCCC(=O)N1CCC2(CCC2)C1,,,,,,ZINCmo00000wZXmL
,,C[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1NC(=O)C(=O)N1C[C@H]2CC[C@@H]1C2,,,,,,ZINCpj00001BNeRq
,,C[C@H](CC(=O)NC[C@@H](O)C(=O)NCC[C@]1(C)CCOC1)C(C)(C)C,,,,,,ZINCok00000sIKc1
,,CC[C@](C)(CN=c1[nH]c(C)cc(=N[C@H](C)c2nc(=N)[nH][nH]2)[nH]1)OC,,,,,,ZINCoo00000t7H2g
,,CC(C)(C)OC(=O)N1CC2(CC(=O)N[C@H]2C(=O)N2C[C@H](O)C2(C)C)C1,,,,,,ZINCp6000015KlaN
,,C[C@@H](CCCNC(=O)[C@](C)(O)CC(F)F)NC(=O)c1ccc(F)cc1,,,,,,ZINCps00000iFAHM
,,C=C1CC[C@@H](CN(CCC(C)(C)OC)C(=O)c2coc(CO)c2)C1,,,,,,ZINCoD00000t65k1
,,CC(C)(C)OC(=O)N1CC2(C[C@@H](CN3CCSC[C@@H]3C(N)=O)CO2)C1,,,,,,ZINCpf000015Klam
,,FC(F)(F)COc1ccc(-n2cc(CC3CCC3)nn2)cn1,,,,,,ZINCmz00000dzb9C
,,CC(C)(C)OC(=O)N1CC2(COC2)C[C@H]1C(=O)N[C@H]1CC[C@H]1C(=O)O,,,,,,ZINCpf000015KlaZ
,,C=CCC[C@H](C)Nc1ccc(S(=O)(=O)NC[C@@H](COC)OC)cc1F,,,,,,ZINCpv00000xEMWJ
,,C[C@H]1CN(C(=O)c2ccccc2)[C@@H]1C(=O)N1CCC2(CCCO2)CC1,,,,,,ZINCpt00000tAh28
,,C=C[C@@](C)(O)C(=O)N1CC2(CO)CC1(C(=O)Nc1ccccc1O)C2,,,,,,ZINCpc000015Klb6
,,CC[C@](C)(O)C(=O)N1CC2(CO)CC1(C(=O)N[C@H](C)C1CCCC1)C2,,,,,,ZINCph000015Klbd
,,C[C@@H]1CN(C(=O)C2=CC(C)(C)C2)CCN(S(=O)(=O)CC(C)(C)CF)C1,,,,,,ZINCpu00000tAh26
,,C[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1NC(=O)NC[C@@H](C1CC1)N(C)C,,,,,,ZINCpo00001BNeRs
,,CC1(C)C[C@H](CN(CC(C)(C)C(F)F)C(=O)C2=COCCO2)CO1,,,,,,ZINCoy00000t65jU
,,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1C(=O)N[C@@]1(C)CCS(=O)(=O)C1,,,,,,ZINCpi00001BNeRB
,,C=CCCCCCN(C)C[C@@H]1CCCN1C(=O)[C@H](CC(C)C)OC,,,,,,ZINCoH000002fLKi
,,CCOC(=O)[C@H](COC)N(C(=O)C1(CC)COC1)C1CC1,,,,,,ZINClf000007ehsu
,,C#CCCCC(=O)NCC[C@H]1CCCN(S(=O)(=O)CCCCCl)C1,,,,,,ZINCot00000ib7xK
,,CC[C@](C)(O)C(=O)N1CC2(CO)CC1(C(=O)NC[C@@H](O)C(C)(C)O)C2,,,,,,ZINCp4000015Klbc
,,CC[C@](C)(O)C(=O)N1CC2(C[C@@H](C(=O)N[C@@H](C)c3cnc[nH]3)CO2)C1,,,,,,ZINCp9000015Klaz
,,CN(CCC(=O)NC1([C@@H](O)CO)CC1)C(=O)CC[C@H]1CCCCO1,,,,,,ZINCo700000HLYHX
,,COC(=O)[C@@]12CC[C@@](C(=O)N[C@H]3CCC[C@@H](C(=O)O)C3)(CO1)C2,,,,,,ZINCne00001A3JgO
,,CO[C@@H](C(=O)N(Cc1ccccn1)C[C@H](C)N=[N+]=[N-])C1CCC1,,,,,,ZINCnz00000sYn7H
,,COC(=O)[C@@]12CC[C@@](C(=O)NCc3nc(CSC)no3)(CN1)C2,,,,,,ZINCn800001A3Jgy
,,CC#CC[C@H](C)Nc1cc(=NC2CC3(CCOC3)C2)[nH]c(COC)n1,,,,,,ZINCpy00000xEMWY
,,CO[C@@H](C(=O)N(Cc1ccc(C)nc1C)CC1(C)CC1)C1CC1,,,,,,ZINCnC00000sYn7M
,,CC[C@H](C)CCC(=O)N1CC[C@](CF)(C(=O)NCc2cnc(C)s2)C1,,,,,,ZINCpA00000xA6fD
,,COC(=O)[C@@]12CC[C@@](C(=O)NCC[C@@H]3CCCN(C)C3)(CN1)C2,,,,,,ZINCnb00001A3JgG
,,COC(=O)C12CCC(C(=O)NC[C@@H]3CCNC[C@H]3C)(CC1)NC2,,,,,,ZINCna00001A3JgK
,,C#CCCCC(=O)N(C)CC1CN(S(=O)(=O)c2ccccc2Cl)C1,,,,,,ZINCos00000ib7xG
,,CC[C@H](CCCC(=O)N1CCC(CF)CC1)NC(=O)[C@]1(C)CC1(F)F,,,,,,ZINCpD00000xA6fm
,,C=CCC[C@@H](C)Nc1ccc(S(=O)(=O)NCC[C@H]2CCCN2C)cn1,,,,,,ZINCpw00000xEMWD
,,C[C@H]1CN(S(C)(=O)=O)C[C@]1(C)CNC(=O)c1cc(CC#N)ccc1F,,,,,,ZINCpl00001BNeRJ
,,CO[C@H](C(=O)N(Cc1ccc(Cl)s1)C[C@@H]1CCCOC1)C1CC1,,,,,,ZINCnF00000sYn7w
,,CC#CC[C@H](C)Nc1ccc(S(=O)(=O)N[C@H]2CCC[C@@H]2OC)cc1F,,,,,,ZINCpy00000xEMWM
,,CCOC(=O)[C@H]1CCCN(S(=O)(=O)[C@H]2C[C@H]3CC[C@H]2O3)C1,,,,,,ZINClf000007ei1b
,,COC(=O)[C@]12CC[C@](C(=O)N[C@@H]3CC[C@H]4CCCN4C3=O)(C1)C2,,,,,,ZINCnf00001A3JgP
,,CO[C@H](C(=O)N(Cc1ccccn1)C[C@@H]1C=CCC1)C1CCC1,,,,,,ZINCnB00000sYn7G
,,C[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H](C)N1C(=O)N[C@@H](C(N)=O)C1CC1,,,,,,ZINCpi00001BNeRw
,,CC[C@H](C(N)=O)N1CCCc2c(NC(=O)C(C)C)cccc21,,,,,,ZINCms000000Az4n
,,C[C@H]1CN(C(=O)N[C@H]2C[C@@H](CNC(=O)OC(C)(C)C)C2)C[C@H]1N(C)C,,,,,,ZINCpo00001BNeR3
,,C[C@@H](CC(=O)NC[C@H](O)C(=O)Nc1cc(O)ccc1F)C(F)(F)F,,,,,,ZINCol00000sIKbS
,,CC=CCNC(=O)CCC[C@@H](C)NC(=O)[C@@]1(C)CCCS1,,,,,,ZINClw00000jsONd
,,CCC#CCN=c1[nH]c(N2CC[C@](CO)(CCC)C2)nc(=NC)[nH]1,,,,,,ZINCon00000t7H2w
,,CO[C@H](C(=O)N(Cc1ccccn1)CC(C)(C)C(C)C)C1CC1,,,,,,ZINCnF00000sYn7E
,,FC(F)(F)COc1ccc(-n2cc(CC3CC3)nn2)cc1Cl,,,,,,ZINCmI00000dzb9B
,,CC[C@H](C)C(=O)NCC(=O)OCc1cc2c(cc1Cl)OCO2,,,,,,ZINCms000000AzbT
,,C=C[C@](C)(O)C(=O)N1CC2(CO)CC1(C(=O)N(C)CCCCOC)C2,,,,,,ZINCp7000015Klb9
,,C=CCCCCCN(C)C[C@@H]1CCCN(C(=O)[C@@H](CC)OCC)C1,,,,,,ZINCoH000002fLJY
,,C#CC[C@H](O)C(=O)N(C)CCCC(=O)N1CCC[C@@](C)(F)C1,,,,,,ZINCmf00000wZXmY
,,CC[C@](C)(O)C(=O)N1CC2(CCN(C(=O)CCCc3cc[nH]n3)C2)C1,,,,,,ZINCpf000015KlaH
,,COC(=O)C12CCC(C(=O)NC[C@@]3(CF)CC3(C)C)(CC1)CO2,,,,,,ZINCnp00001A3Jgx
,,C[C@H]1CN(C(=O)N[C@@H]2C[C@H](CO)N(C(=O)OC(C)(C)C)C2)C[C@H](C)S1,,,,,,ZINCpo00001BNeR4
,,C[C@H]1CN(C(=O)NCCN2CCCC(C)(C)C2)C[C@H]1N1CCOCC1,,,,,,ZINCpk00001BNeQY
,,C[C@H]1CN(C(=O)OC(C)(C)C)[C@H]1C(=O)N[C@@H](C[C@H]1CCCO1)C(=O)O,,,,,,ZINCpj00001BNeRE
,,CC(C)C(=O)C(=O)N1CC2CC(C(=O)NC[C@H](CO)CC3CC3)(C2)C1,,,,,,ZINCpf000015Klae
,,C[C@@H]1CN(Cc2c(-c3cccc4[nH]ccc34)cnn2C)CCO1,,,,,,ZINCnx00000otW7s
,,C=CCCCC(=O)N(C)C[C@H]1CCCN(c2cc(C#N)ncn2)C1,,,,,,ZINCot00000ib7xI
,,C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]1CCC(=O)N[C@H](C)C(=O)N(C)C,,,,,,ZINCpo00001BNeRi
